"Category","Drill","Difficulty","Level Min","Level Max","Description"
"Skidded Turns","Pivot Slips","L1–L3","1","3","180-degree pivot slips in a corridor, with minimal vertical movement at L2 and above."
"Skidded Turns","Pivot Turns","L1–L2","1","2","Steep-terrain turns using maximum pivot and minimal edge to start the turn while controlling speed."
"Skidded Turns","Quick Stops","L1–L2","1","2","A safety skill using a rapid pivot across the fall line and edge set to stop."
"Skidded Turns","Shock Absorbers","L1–L3","1","3","Legs acting as shock absorbers to manage pressure through bumps while keeping the upper body quiet."
"Skidded Turns","Sideslips","L1","1","1","Sideways sliding on a flat board followed by gradual edge set, controlling edge angle."
"Skidded Turns","Blind Slips","L2–L3","2","3","Pivot slips performed without looking at the board, emphasizing feel and proprioception."
"Skidded Turns","Corridor Turns","L2–L3","2","3","Precise carved turns in a narrow corridor with controlled speed."
"Skidded Turns","Hourglass Turns","L2–L3","2","3","Rhythmic turn-size variation from big to small and back, like an hourglass."
"Skidded Turns","Shorts Around Longs","L2–L3","2","3","Small-radius turns made along a large-radius path with a tight rhythm."
"Straight Air","Nollies","L1–L2","1","2","A pop created by pressing the nose and springing off it, landing balanced."
"Straight Air","Ollies","L1–L2","1","2","A pop created by pressing the tail and springing off it, landing balanced."
"Switch Carved Turns","Switch Carved","L2–L3","2","3","Carved turns in switch stance using mirrored fundamentals."
"Switch Skidded Turns","Switch Turns (skidded)","L1–L2","1","2","Skidded turns in switch stance, applying all fundamentals in the opposite direction."
"Toe to Toe","Toe to Toe (on-snow)","L2","2","2","Carved toe turns linked with a frontside 180 pivot on snow to switch to the toe edge."
"Toe to Toe","Toe to Toe (in-air)","L3","3","3","A frontside 180 in the air landing toe to switch toe."
"Triffecta","Triffecta","L3","3","3","Three aired edge changes linked smoothly: two-foot, ollied two-foot, and ollied dolphin."
